resp_index,choicetask,race,choice,gender,age,hhsize,children,education,zipcode,employment,hhincome,gas_reliab,rent,used,budget,vehclass,homecharge,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5,reliab_fs,CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR9,CR10,cr_fs,zip_region,treatment,survey_index,ev_price,ev_opcost,ev_range,ev_chargavail,icev_price,icev_opcost,icev_range,ev_av,icev_av
202,4,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,31500.0,5.0,300,75,24500.0,7.5,300,1,1
202,5,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,31500.0,12.5,400,50,28000.0,7.5,300,1,1
202,6,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,31500.0,15.0,300,10,24500.0,15.0,200,1,1
202,7,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,35000.0,10.0,300,10,28000.0,15.0,200,1,1
202,8,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,28000.0,15.0,300,10,28000.0,10.0,300,1,1
202,9,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,35000.0,12.5,200,50,35000.0,15.0,300,1,1
202,10,White,2,1,83,2,0,6,1746,7,8,5,0,1,35000,1,1,60,4,3,3,3,-0.241273217896541,3,1,2,1,3,2,1,2,3,1,-1.31859664563275,0,1,67,35000.0,10.0,300,50,35000.0,5.0,400,1,1
775,1,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,32000.0,5.0,300,75,40000.0,10.0,300,1,1
775,2,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,32000.0,5.0,400,25,36000.0,15.0,200,1,1
775,3,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,36000.0,15.0,400,25,32000.0,5.0,300,1,1
775,4,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,32000.0,5.0,200,10,36000.0,10.0,300,1,1
775,5,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,32000.0,5.0,200,100,40000.0,15.0,200,1,1
775,6,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,32000.0,5.0,400,75,36000.0,10.0,400,1,1
775,7,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,36000.0,12.5,400,100,32000.0,15.0,400,1,1
775,8,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,32000.0,7.5,400,25,28000.0,7.5,400,1,1
775,9,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,40000.0,7.5,300,100,36000.0,15.0,200,1,1
775,10,American Indian or Alaska Native,2,1,53,2,0,2,70460,7,6,6,0,0,40000,1,1,10,1,1,1,1,-1.88066918984927,1,1,5,1,1,1,1,1,5,1,-1.01470177193506,7,1,258,36000.0,7.5,300,50,28000.0,12.5,400,1,1
691,1,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,14000.0,7.5,200,100,20000.0,12.5,400,1,1
691,2,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,16000.0,12.5,300,100,16000.0,12.5,300,1,1
691,3,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,20000.0,7.5,200,10,16000.0,12.5,300,1,1
691,4,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,14000.0,7.5,200,50,16000.0,7.5,200,1,1
691,5,Black or African American,1,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,18000.0,15.0,400,75,14000.0,12.5,300,1,1
691,6,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,18000.0,7.5,300,10,14000.0,12.5,300,1,1
691,7,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,20000.0,5.0,300,10,14000.0,10.0,300,1,1
691,8,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,20000.0,5.0,200,50,16000.0,10.0,400,1,1
691,9,Black or African American,2,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,18000.0,5.0,300,25,16000.0,5.0,300,1,1
691,10,Black or African American,1,2,62,3,0,1,48504,4,5,4,0,1,20000,2,1,32,4,3,2,4,-0.494967291881788,1,3,4,4,5,3,5,4,4,3,0.669730838053852,4,1,230,14000.0,12.5,300,75,16000.0,10.0,200,1,1
68,1,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,18200.0,10.0,200,100,18200.0,10.0,400,1,1
68,2,White,1,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,20800.0,7.5,200,10,23400.0,12.5,300,1,1
68,3,White,1,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,23400.0,7.5,400,50,18200.0,12.5,200,1,1
68,4,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,26000.0,15.0,400,25,20800.0,12.5,300,1,1
68,5,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,26000.0,10.0,400,50,20800.0,7.5,400,1,1
68,6,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,18200.0,7.5,400,50,18200.0,12.5,200,1,1
68,7,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,26000.0,15.0,400,75,26000.0,7.5,300,1,1
68,8,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,18200.0,12.5,400,50,26000.0,7.5,400,1,1
68,9,White,1,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,18200.0,5.0,200,100,20800.0,5.0,200,1,1
68,10,White,2,2,62,2,0,1,37040,7,4,4,0,1,26000,1,1,70,3,3,4,4,-0.0277675529037476,5,2,5,4,4,5,4,4,4,3,1.21791031833075,3,2,22,23400.0,7.5,200,100,18200.0,15.0,400,1,1
257,1,White,2,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,14000.0,15.0,300,10,16000.0,12.5,200,1,1
257,2,White,2,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,16000.0,15.0,400,10,16000.0,15.0,300,1,1
257,3,White,2,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,18000.0,15.0,200,10,16000.0,7.5,300,1,1
257,4,White,1,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,14000.0,12.5,200,50,20000.0,5.0,400,1,1
257,5,White,2,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,16000.0,7.5,200,50,18000.0,7.5,400,1,1
257,6,White,2,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,16000.0,7.5,200,100,16000.0,7.5,200,1,1
257,7,White,1,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,20000.0,5.0,400,25,20000.0,15.0,300,1,1
257,8,White,2,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,18000.0,7.5,300,100,18000.0,7.5,200,1,1
257,9,White,1,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,20000.0,15.0,200,25,16000.0,12.5,300,1,1
257,10,White,1,2,21,4,0,8,75460,8,6,5,0,1,20000,1,0,22,3,4,3,3,-0.4302272574836,4,3,5,5,4,3,1,4,4,4,0.832444079718076,7,2,85,14000.0,12.5,200,50,20000.0,15.0,200,1,1
275,1,White,1,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,7200.0,5.0,300,50,7200.0,12.5,400,1,1
275,2,White,1,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,6400.0,12.5,300,10,8000.0,12.5,300,1,1
275,3,White,2,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,8000.0,10.0,400,25,7200.0,5.0,300,1,1
275,4,White,2,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,8000.0,12.5,400,75,6400.0,15.0,400,1,1
275,5,White,2,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,7200.0,5.0,400,75,5600.0,7.5,200,1,1
275,6,White,1,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,5600.0,7.5,200,25,6400.0,7.5,200,1,1
275,7,White,2,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,8000.0,15.0,400,100,5600.0,15.0,300,1,1
275,8,White,2,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,6400.0,15.0,300,100,6400.0,10.0,300,1,1
275,9,White,1,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,8000.0,7.5,200,50,6400.0,12.5,200,1,1
275,10,White,1,2,24,1,0,4,92311,1,12,3,3,1,8000,1,0,40,3,3,3,4,-0.395254872158892,2,2,3,3,3,3,3,4,3,4,-0.232728330411024,9,2,91,5600.0,10.0,300,25,8000.0,7.5,200,1,1
122,1,White,2,2,58,2,0,4,14043,4,4,6,1,1,15000,1,0,100,6,5,5,4,1.09942631879952,3,1,3,2,3,3,1,3,3,2,-0.738497214830292,1,2,40,13500.0,5.0,300,50,13500.0,15.0,400,1,1
