age,gender,gender_other,race,hhsize,children,zipcode,education,employment,hhincome,evinhh,hhveh,vehpurch_yr,monthly_gas,carpurp,carpurp_other,yearly_longdist,gas_reliab,rent,parking,move,used,budget,vehclass,homecharge,lowreliab_1,lowreliab_2,lowreliab_3,lowreliab_4,lowreliab_5,control_1,control_2,control_3,control_4,control_5,highreliab_1,highreliab_2,highreliab_3,highreliab_4,highreliab_5,CE_ChoiceTask_1_1,CE_ChoiceTask_2_1,CE_ChoiceTask_3_1,CE_ChoiceTask_4_1,CE_ChoiceTask_5_1,CE_ChoiceTask_6_1,CE_ChoiceTask_7_1,CE_ChoiceTask_8_1,CE_ChoiceTask_9_1,CE_ChoiceTask_10_1,techanxiety1,slownessofadopt1,resisttoinnov1,techanxiety2,slownessofadopt2,resisttoinnov2,resisttoinnov3,slownessofadopt3,techanxiety3,techanxiety4,slownessofadopt4,psid,errorMessage,customLink2,customLink3,zipcode,zip_region,Attributes.VisitorId.N,number,treatment,survey_index,evprice_1,icevprice_1,evrange_1,icevrange_1,evopcost_1,icevopcost_1,evchargavail_1,evprice_2,icevprice_2,evrange_2,icevrange_2,evopcost_2,icevopcost_2,evchargavail_2,evprice_3,icevprice_3,evrange_3,icevrange_3,evopcost_3,icevopcost_3,evchargavail_3,evprice_4,icevprice_4,evrange_4,icevrange_4,evopcost_4,icevopcost_4,evchargavail_4,evprice_5,icevprice_5,evrange_5,icevrange_5,evopcost_5,icevopcost_5,evchargavail_5,evprice_6,icevprice_6,evrange_6,icevrange_6,evopcost_6,icevopcost_6,evchargavail_6,evprice_7,icevprice_7,evrange_7,icevrange_7,evopcost_7,icevopcost_7,evchargavail_7,evprice_8,icevprice_8,evrange_8,icevrange_8,evopcost_8,icevopcost_8,evchargavail_8,evprice_9,icevprice_9,evrange_9,icevrange_9,evopcost_9,icevopcost_9,evchargavail_9,evprice_10,icevprice_10,evrange_10,icevrange_10,evopcost_10,icevopcost_10,evchargavail_10,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5
36,1,,White,3,1,44514,2,2,4,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2017,1-2 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,5,0,Attached private garage,I do not plan to move out from my current home,0,25000,1,1,,,,,,19,2.0,2.0,2.0,2.0,,,,,,2,2,2,2,2,2,2,2,2,2,3,3,1,3,4,2,3,5,2,3,3,4k_AFcoRAY_claOtDN1mnw**,,,,44514,4,85,85,1,28,22500,22500,400,200,12.5,15,75,20000,22500,300,400,5,5,100,17500,20000,300,200,7.5,7.5,25,25000,22500,200,400,15,15,25,22500,17500,400,400,12.5,15,50,20000,25000,200,300,7.5,15,50,17500,17500,300,300,7.5,5,10,22500,22500,200,400,10,12.5,50,20000,20000,300,300,5,12.5,75,22500,20000,400,200,5,7.5,50,19,2.0,2.0,2.0,2.0
62,2,,White,2,0,48310,7,2,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2016,1-2 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,4,0,Driveway or carport,I do not plan to move out from my current home,0,40000,1,1,,,,,,40,1.0,1.0,3.0,1.0,,,,,,2,2,2,2,2,2,2,2,2,2,4,3,2,4,4,4,4,5,3,5,3,4k_AFcoRAY-XyiaPSY1NVA**,,,,48310,4,70,70,1,23,36000,36000,400,300,10,7.5,25,28000,40000,400,200,12.5,5,100,40000,36000,300,300,15,5,50,40000,32000,200,400,7.5,15,10,28000,32000,400,200,10,10,100,28000,40000,200,300,15,10,25,32000,28000,200,200,5,7.5,75,36000,40000,200,400,12.5,12.5,25,32000,40000,400,200,7.5,10,50,28000,32000,400,400,5,12.5,25,40,1.0,1.0,3.0,1.0
73,1,,White,1,0,06268,6,7,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2006,3-4 Times per Month,"Running errands,Driving locally",,Less than Once per Year,3,0,Detached private garage,I do not plan to move out from my current home,1,15000,1,0,96,4.0,4.0,4.0,4.0,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,3,2,2,3,2,3,3,2,2,3,3,4k_AFcoRAY83dhnmX9kFrw**,,,,06268,0,84,84,0,28,13500,13500,400,200,12.5,15,75,12000,13500,300,400,5,5,100,10500,12000,300,200,7.5,7.5,25,15000,13500,200,400,15,15,25,13500,10500,400,400,12.5,15,50,12000,15000,200,300,7.5,15,50,10500,10500,300,300,7.5,5,10,13500,13500,200,400,10,12.5,50,12000,12000,300,300,5,12.5,75,13500,12000,400,200,5,7.5,50,96,4.0,4.0,4.0,4.0
49,2,,White,1,0,78653,8,2,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2020,3-4 Times per Month,"Running errands,Driving locally",,Multiple Times per Year,4,1,Driveway or carport,I do not plan to move out from my current home,1,15000,2,1,,,,,,53,4.0,4.0,4.0,4.0,,,,,,1,2,2,2,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,4k_AFcoRAY_r7-5pYqkCRw**,,,,78653,7,55,55,1,18,10500,13500,200,200,7.5,15,75,10500,10500,300,400,15,10,50,13500,13500,300,300,5,15,50,13500,10500,400,400,10,15,75,12000,12000,200,200,7.5,15,10,10500,12000,400,400,10,5,10,15000,13500,400,200,10,10,10,15000,13500,400,200,12.5,5,75,15000,13500,400,400,7.5,12.5,75,12000,12000,300,200,12.5,10,50,53,4.0,4.0,4.0,4.0
78,2,,White,2,0,94901,4,7,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2010,1-2 Times per Month,Running errands,,Less than Once per Year,4,0,On street,I do not plan to move out from my current home,0,35000,1,1,,,,,,,,,,,82,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY-Tme6Z6FgD1Q**,,,,94901,9,65,65,2,21,28000,24500,300,200,5,7.5,10,35000,24500,200,200,5,5,50,28000,28000,200,200,5,10,25,31500,31500,300,400,5,5,25,28000,28000,200,200,10,12.5,25,31500,35000,400,400,5,10,25,31500,35000,300,300,15,15,50,24500,28000,300,300,5,15,50,28000,28000,400,400,7.5,10,10,28000,24500,400,300,10,12.5,50,82,4.0,4.0,4.0,4.0
36,2,,White,4,0,84737,6,2,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2021,3-4 Times per Month,"Commuting to work,Running errands,Driving locally",,Multiple Times per Year,4,3,Driveway or carport,Not sure,1,8000,1,0,,,,,,,,,,,74,4.0,4.0,5.0,4.0,2,1,1,2,1,1,1,2,2,2,3,2,4,3,3,4,4,4,3,4,2,4k_AFcoRAY_1XQKvWXdpXA**,,,,84737,8,125,125,2,41,6400,5600,200,200,15,12.5,25,6400,6400,400,300,7.5,10,100,5600,7200,300,400,7.5,12.5,25,6400,5600,300,400,7.5,10,100,7200,5600,400,200,7.5,7.5,50,6400,6400,300,400,12.5,7.5,50,8000,8000,400,300,5,10,50,7200,7200,200,200,12.5,7.5,50,5600,7200,400,200,5,5,10,8000,5600,200,300,10,15,50,74,4.0,4.0,5.0,4.0
74,2,,White,1,0,80906,4,7,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2015,3-4 Times per Month,Running errands,,Less than Once per Year,4,0,Attached private garage,I do not plan to move out from my current home,0,20000,1,1,48,4.0,3.0,4.0,4.0,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,1,5,3,2,2,2,2,2,2,2,4k_AFcoRAY8e15sunVhucQ**,,,,80906,8,126,126,0,42,14000,14000,200,300,5,5,25,18000,16000,300,400,10,10,75,14000,18000,300,200,7.5,7.5,25,14000,14000,200,300,15,12.5,100,14000,20000,200,200,5,15,50,20000,14000,200,300,7.5,12.5,75,20000,20000,400,200,12.5,15,100,16000,14000,400,200,7.5,7.5,10,18000,20000,300,400,12.5,12.5,50,18000,14000,400,400,5,10,100,48,4.0,3.0,4.0,4.0
70,2,,White,3,0,59870,2,7,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2016,1-2 Times per Month,"Running errands,Driving locally,Extended road trips",,Multiple Times per Year,4,0,Attached private garage,I do not plan to move out from my current home,1,8000,1,1,,,,,,,,,,,92,6.0,5.0,5.0,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,4,2,3,2,4k_AFcoRAY-piXgwJQmgYg**,,,,59870,5,50,50,2,16,8000,5600,200,200,12.5,15,100,8000,8000,300,400,5,15,25,8000,7200,400,200,7.5,10,75,5600,6400,300,300,12.5,12.5,10,7200,7200,200,400,10,15,10,8000,5600,400,400,12.5,7.5,25,5600,5600,200,200,7.5,5,10,5600,7200,400,400,10,5,100,7200,5600,400,200,10,7.5,10,6400,5600,400,300,15,7.5,100,92,6.0,5.0,5.0,5.0
72,2,,White,2,0,53012,1,7,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2015,1-2 Times per Month,"Running errands,Driving locally",,Never,4,0,Attached private garage,I do not plan to move out from my current home,0,30000,1,1,38,4.0,4.0,4.0,3.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4k_AFcoRAY8sUm_o9vngOw**,,,,53012,5,72,72,0,24,21000,30000,200,200,10,5,50,21000,27000,200,400,10,12.5,10,27000,24000,400,300,12.5,12.5,10,24000,30000,400,300,5,15,75,27000,24000,300,200,10,12.5,100,24000,30000,200,400,10,5,75,30000,24000,200,400,7.5,12.5,25,30000,24000,400,200,5,7.5,75,30000,24000,300,400,10,10,50,27000,30000,200,200,10,10,25,38,4.0,4.0,4.0,3.0
62,2,,White,2,0,37040,1,7,4,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2011,1-2 Times per Month,"Running errands,Driving locally,Extended road trips",,Multiple Times per Year,4,0,Attached private garage,I do not plan to move out from my current home,1,26000,1,1,,,,,,,,,,,70,3.0,3.0,4.0,4.0,2,1,1,2,2,2,2,2,1,2,5,2,1,5,4,4,5,4,4,4,3,4k_AFcoRAY__VdCLKksQPQ**,,,,37040,3,68,68,2,22,18200,18200,200,400,10,10,100,20800,23400,200,300,7.5,12.5,10,23400,18200,400,200,7.5,12.5,50,26000,20800,400,300,15,12.5,25,26000,20800,400,400,10,7.5,50,18200,18200,400,200,7.5,12.5,50,26000,26000,400,300,15,7.5,75,18200,26000,400,400,12.5,7.5,50,18200,20800,200,200,5,5,100,23400,18200,200,400,7.5,15,100,70,3.0,3.0,4.0,4.0
69,1,,White,2,0,07740,7,7,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2022,1-2 Times per Month,"Running errands,Driving locally,Extended road trips",,Once per Month,4,0,Attached private garage,I do not plan to move out from my current home,0,50000,1,1,,,,,,,,,,,61,3.0,3.0,1.0,2.0,2,1,2,2,2,1,2,2,2,2,5,2,1,4,4,2,2,4,4,4,3,4k_AFcoRAY_IKY1505prTw**,,,,07740,0,71,71,2,23,45000,45000,400,300,10,7.5,25,35000,50000,400,200,12.5,5,100,50000,45000,300,300,15,5,50,50000,40000,200,400,7.5,15,10,35000,40000,400,200,10,10,100,35000,50000,200,300,15,10,25,40000,35000,200,200,5,7.5,75,45000,50000,200,400,12.5,12.5,25,40000,50000,400,200,7.5,10,50,35000,40000,400,400,5,12.5,25,61,3.0,3.0,1.0,2.0
71,2,,Black or African American,1,0,27604,2,7,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2018,3-4 Times per Month,"Running errands,Driving locally,Extended road trips",,Less than Once per Year,5,0,Assigned parking space in a shared lot or garage,I do not plan to move out from my current home,1,25000,1,0,,,,,,,,,,,0,4.0,4.0,4.0,1.0,1,1,1,1,1,1,1,2,2,2,1,1,1,4,2,3,3,2,3,4,3,4k_AFcoRAY-j7Ei5uZr1Zg**,,,,27604,2,59,59,2,19,25000,17500,400,200,5,15,50,22500,17500,300,300,7.5,5,100,22500,20000,300,200,10,15,50,25000,22500,300,400,12.5,15,10,25000,25000,300,300,5,15,50,17500,17500,200,200,5,10,10,20000,20000,300,200,12.5,12.5,75,22500,20000,200,300,12.5,12.5,75,25000,17500,300,300,12.5,5,75,22500,17500,300,300,10,10,25,0,4.0,4.0,4.0,1.0
47,2,,White,5,0,61520,2,4,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2021,3-4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Less than Once per Year,4,1,Driveway or carport,In more than 5 years,1,60000,2,1,,,,,,60,4.0,4.0,4.0,4.0,,,,,,2,1,2,2,1,1,2,2,1,1,3,2,2,3,3,4,3,4,3,3,2,4k_AFcoRAY8nytGO39kbxw**,,,,61520,6,88,88,1,29,42000,42000,300,200,5,7.5,25,42000,42000,200,300,5,10,25,42000,54000,300,200,15,15,100,48000,48000,400,200,15,5,10,54000,42000,400,300,12.5,15,50,42000,60000,300,300,10,15,75,60000,42000,400,300,5,15,50,60000,42000,200,200,5,10,100,42000,48000,300,300,5,5,50,42000,48000,200,300,5,15,25,60,4.0,4.0,4.0,4.0
76,2,,White,1,0,80601,4,7,2,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2008,1-2 Times per Month,"Running errands,Driving locally",,Never,5,1,Unassigned parking space in a shared lot or garage,In the next 2-5 years,1,10000,1,0,,,,,,,,,,,80,5.0,5.0,4.0,4.0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,3,1,2,2,1,4k_AFcoRAY91--_SOdiKwA**,,,,80601,8,83,83,2,27,9000,8000,400,300,7.5,7.5,100,10000,10000,200,300,12.5,7.5,25,9000,9000,200,400,15,10,75,7000,10000,400,200,12.5,7.5,25,9000,10000,400,400,5,7.5,75,9000,10000,300,400,10,7.5,100,8000,9000,200,200,15,12.5,25,7000,10000,400,400,10,12.5,25,10000,9000,400,200,5,15,25,7000,8000,400,200,5,10,100,80,5.0,5.0,4.0,4.0
66,2,,White,2,0,07825,6,7,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2010,3-4 Times per Month,"Running errands,Driving locally,Extended road trips",,Once per Month,5,0,Driveway or carport,Not sure,1,30000,1,1,3,1.0,1.0,1.0,1.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,4,1,2,2,1,4k_AFcoRAY-MIlWFvSENjQ**,,,,07825,0,66,66,0,22,21000,21000,200,400,10,10,100,24000,27000,200,300,7.5,12.5,10,27000,21000,400,200,7.5,12.5,50,30000,24000,400,300,15,12.5,25,30000,24000,400,400,10,7.5,50,21000,21000,400,200,7.5,12.5,50,30000,30000,400,300,15,7.5,75,21000,30000,400,400,12.5,7.5,50,21000,24000,200,200,5,5,100,27000,21000,200,400,7.5,15,100,3,1.0,1.0,1.0,1.0
67,2,,White,2,0,84088,8,7,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2018,3-4 Times per Month,"Running errands,Driving locally,Extended road trips",,Multiple Times per Year,4,0,Driveway or carport,I do not plan to move out from my current home,1,20000,1,1,,,,,,,,,,,100,6.0,6.0,6.0,6.0,2,1,1,1,1,1,1,1,1,1,2,4,2,5,2,4,4,2,4,4,4,4k_AFcoRAY8LKiOskS9oLg**,,,,84088,8,41,41,2,13,20000,14000,300,200,10,12.5,10,20000,16000,400,300,7.5,12.5,75,20000,16000,200,300,10,5,100,18000,14000,300,200,7.5,7.5,75,16000,18000,400,400,15,7.5,10,18000,14000,300,300,10,15,75,16000,20000,200,200,15,12.5,25,20000,18000,400,400,7.5,7.5,75,16000,20000,200,300,10,7.5,50,20000,20000,300,200,15,5,75,100,6.0,6.0,6.0,6.0
75,2,,White,2,0,98290,2,7,4,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2016,1-2 Times per Month,"Running errands,Driving locally",,Multiple Times per Year,5,1,Assigned parking space in a shared lot or garage,I do not plan to move out from my current home,1,8000,2,1,,,,,,88,5.0,5.0,5.0,5.0,,,,,,2,2,1,2,2,2,1,1,1,1,3,2,2,4,1,3,4,2,3,2,2,4k_AFcoRAY_x_evbYUuCaw**,,,,98290,9,49,49,1,16,8000,5600,200,200,12.5,15,100,8000,8000,300,400,5,15,25,8000,7200,400,200,7.5,10,75,5600,6400,300,300,12.5,12.5,10,7200,7200,200,400,10,15,10,8000,5600,400,400,12.5,7.5,25,5600,5600,200,200,7.5,5,10,5600,7200,400,400,10,5,100,7200,5600,400,200,10,7.5,10,6400,5600,400,300,15,7.5,100,88,5.0,5.0,5.0,5.0
